Key;Neighborhood;Latitude;Longitude
1;1er Ardt;48.862.563;2.336.443
2;2eme Ardt;48.868.279;2.342.803
3;3eme Ardt;48.862.872;2.360.001
4;4eme Ardt;48.854.341;235.763
5;5eme Ardt;48.844.443;2.350.715
6;6eme Ardt;4.884.913;2.332.898
7;7eme Ardt;48.856.174;2.312.188
8;8eme Ardt;48.872.721;2.312.554
9;9eme Ardt;48.877.164;2.337.458
10;10eme Ardt;4.887.613;2.360.728
11;11eme Ardt;48.859.059;2.380.058
12;12eme Ardt;48.834.974;2.421.325
13;13eme Ardt;48.828.388;2.362.272
14;14eme Ardt;48.829.245;2.326.542
15;15eme Ardt;48.840.085;2.292.826
16;16eme Ardt;48.860.392;2.261.971
17;17eme Ardt;48.887.327;2.306.777
18;18eme Ardt;48.892.569;2.348.161
19;19eme Ardt;48.887.076;2.384.821
20;20eme Ardt;48.863.461;2.401.188
